image_name,target_angle,predicted_perm1,predicted_perm
tile_r3_c3.tiff,0,0.393717915,23.3864091
tile_r3_c3.tiff,10,0.352785915,21.99472111
tile_r3_c3.tiff,20,0.337447703,21.4732219
tile_r3_c3.tiff,30,0.337916762,21.4891699
tile_r3_c3.tiff,40,0.357581943,22.15778607
tile_r3_c3.tiff,50,0.379561096,22.90507728
tile_r3_c3.tiff,60,0.376476854,22.80021304
tile_r3_c3.tiff,70,0.359122187,22.21015435
tile_r3_c3.tiff,80,0.357159406,22.1434198
tile_r3_c3.tiff,90,0.374322355,22.72696006
tile_r3_c3.tiff,100,0.377140373,22.82277268
tile_r3_c3.tiff,110,0.381113082,22.95784479
tile_r3_c3.tiff,120,0.392627358,23.34933019
tile_r3_c3.tiff,130,0.38708058,23.16073972
tile_r3_c3.tiff,140,0.368702322,22.53587896
tile_r3_c3.tiff,150,0.355986089,22.10352701
tile_r3_c3.tiff,160,0.375586569,22.76994336
tile_r3_c3.tiff,170,0.395229667,23.43780869
tile_r3_c3.tiff,180,0.401454121,23.64944011
tile_r3_c4.tiff,0,0.441605151,25.01457512
tile_r3_c4.tiff,10,0.39478156,23.42257303
tile_r3_c4.tiff,20,0.388982475,23.22540414
tile_r3_c4.tiff,30,0.390370876,23.27260977
tile_r3_c4.tiff,40,0.400529563,23.61800516
tile_r3_c4.tiff,50,0.410643786,23.96188873
tile_r3_c4.tiff,60,0.39245519,23.34347647
tile_r3_c4.tiff,70,0.365191966,22.41652685
tile_r3_c4.tiff,80,0.357990712,22.17168421
tile_r3_c4.tiff,90,0.373151153,22.68713921
tile_r3_c4.tiff,100,0.368803531,22.53932005
tile_r3_c4.tiff,110,0.361193866,22.28059143
tile_r3_c4.tiff,120,0.357406288,22.15181381
tile_r3_c4.tiff,130,0.338641942,21.51382601
tile_r3_c4.tiff,140,0.316433936,20.75875384
tile_r3_c4.tiff,150,0.309493303,20.52277231
tile_r3_c4.tiff,160,0.35230729,21.97844785
tile_r3_c4.tiff,170,0.401448995,23.64926583
tile_r3_c4.tiff,180,0.430275947,24.62938219
tile_r3_c5.tiff,0,0.54868722,28.65536547
tile_r3_c5.tiff,10,0.46812436,25.91622823
tile_r3_c5.tiff,20,0.421807319,24.34144884
tile_r3_c5.tiff,30,0.401197404,23.64071172
tile_r3_c5.tiff,40,0.414426237,24.09049207
tile_r3_c5.tiff,50,0.442590386,25.04807311
tile_r3_c5.tiff,60,0.44149226,25.01073682
tile_r3_c5.tiff,70,0.429239392,24.59413934
tile_r3_c5.tiff,80,0.433255047,24.73067158
tile_r3_c5.tiff,90,0.456158638,25.50939369
tile_r3_c5.tiff,100,0.452968687,25.40093535
tile_r3_c5.tiff,110,0.44078064,24.98654175
tile_r3_c5.tiff,120,0.437322885,24.86897808
tile_r3_c5.tiff,130,0.41345945,24.0576213
tile_r3_c5.tiff,140,0.38732329,23.16899186
tile_r3_c5.tiff,150,0.392315656,23.3387323
tile_r3_c5.tiff,160,0.469595879,25.9662599
tile_r3_c5.tiff,170,0.546182811,28.57021558
tile_r3_c5.tiff,180,0.56209904,29.11136734
tile_r3_c6.tiff,0,0.553109288,28.8057158
tile_r3_c6.tiff,10,0.546972334,28.59705937
tile_r3_c6.tiff,20,0.543156445,28.46731913
tile_r3_c6.tiff,30,0.544573784,28.51550865
tile_r3_c6.tiff,40,0.554858446,28.86518717
tile_r3_c6.tiff,50,0.568401635,29.32565558
tile_r3_c6.tiff,60,0.539178371,28.33206463
tile_r3_c6.tiff,70,0.492487639,26.74457973
tile_r3_c6.tiff,80,0.478848308,26.28084248
tile_r3_c6.tiff,90,0.501370013,27.04658043
tile_r3_c6.tiff,100,0.496926814,26.89551169
tile_r3_c6.tiff,110,0.479692131,26.30953246
tile_r3_c6.tiff,120,0.460567683,25.65930122
tile_r3_c6.tiff,130,0.417866796,24.20747107
tile_r3_c6.tiff,140,0.373657823,22.70436597
tile_r3_c6.tiff,150,0.36150676,22.29122984
tile_r3_c6.tiff,160,0.440608412,24.98068601
tile_r3_c6.tiff,170,0.535064459,28.1921916
tile_r3_c6.tiff,180,0.590072572,30.06246746
tile_r3_c7.tiff,0,0.494579643,26.81570786
tile_r3_c7.tiff,10,0.445995957,25.16386253
tile_r3_c7.tiff,20,0.435195178,24.79663604
tile_r3_c7.tiff,30,0.430440336,24.63497144
tile_r3_c7.tiff,40,0.433711737,24.74619907
tile_r3_c7.tiff,50,0.439391285,24.9393037
tile_r3_c7.tiff,60,0.413657188,24.06434441
tile_r3_c7.tiff,70,0.378400177,22.86560601
tile_r3_c7.tiff,80,0.367005348,22.47818184
tile_r3_c7.tiff,90,0.382443219,23.00306946
tile_r3_c7.tiff,100,0.376832783,22.81231463
tile_r3_c7.tiff,110,0.365864128,22.43938035
tile_r3_c7.tiff,120,0.358474463,22.18813175
tile_r3_c7.tiff,130,0.335337013,21.40145844
tile_r3_c7.tiff,140,0.312694252,20.63160455
tile_r3_c7.tiff,150,0.313901275,20.67264336
tile_r3_c7.tiff,160,0.378857583,22.88115782
tile_r3_c7.tiff,170,0.450904787,25.33076274
tile_r3_c7.tiff,180,0.488945305,26.62414038
tile_r3_c8.tiff,0,0.483108312,26.4256826
