angle,Porosity,Surface_Area,Permeability_X,augmented,aug_perm,image_name
150,68.40209961,4389,8.098433,7.292422,0.320982257,23
160,68.36547852,4392,8.839948,7.5414863,0.332128426,23
170,67.94128418,4391,8.410717,7.2854013,0.320668065,23
180,67.83294678,4388,7.292422,6.9789987,0.306955882,23
0,67.73986816,4425,7.5414863,5.748756,0.251899844,24
10,66.9128418,4382,7.2854013,6.2219505,0.273076328,24
20,67.99316406,4306,6.9789987,4.798402,0.209369434,24
30,67.90618896,4311,6.554061,4.3367624,0.188710058,24
40,68.27392578,4274,5.748756,4.954606,0.216359903,24
50,69.02618408,4257,6.2219505,4.696505,0.204809322,24
60,68.39752197,4390,4.798402,4.179174,0.181657634,24
70,68.35021973,4404,4.3367624,5.1804247,0.226465781,24
80,67.90008545,4377,4.954606,5.7322574,0.251161496,24
90,67.72613525,4415,4.696505,6.4080944,0.281406672,24
100,66.88232422,4389,4.179174,6.6653066,0.292917478,24
110,67.96722412,4304,5.1804247,8.098433,0.357053003,24
120,67.89245605,4310,5.7322574,8.839948,0.390237413,24
